Feature	Gain	Cover	Frequency
ctrx_quarter	0.13066233097517	0.0175733442115007	0.0275220992906105
mcuentas_saldo	0.0430249121679157	0.019094912860015	0.0271588847070219
mrentabilidad_annual	0.0354055940029851	0.032098770093418	0.0478352111876071
cpayroll_trx	0.0324220720132352	0.00713335801216834	0.00075632337158795
cliente_edad	0.032313950967461	0.0355367808362185	0.0582189630896258
mpasivos_margen	0.0311787970350133	0.0159915021196513	0.0265595059085895
mprestamos_personales	0.0299961499013321	0.0194699786835583	0.0044975830535734
numero_de_cliente	0.0286768957266034	0.032910849838434	0.0542938540505152
mcuenta_corriente	0.0246209848360804	0.0335936130539786	0.0411299411383115
Master_Fvencimiento	0.0245914259257512	0.0190441353937056	0.0336324746721353
Master_fechaalta	0.0242794605803586	0.0147412669461366	0.0279660282261078
cliente_antiguedad	0.0231491134857667	0.0243145494965823	0.0426037254157537
Visa_Fvencimiento	0.0210863939592825	0.0203061459881134	0.0338237975803631
mrentabilidad	0.0195396838615493	0.0200980178713881	0.0297372598374353
mcaja_ahorro	0.0193134916875874	0.00917967786894665	0.0202473446472932
mactivos_margen	0.0190026826836003	0.020316522372664	0.026004968416773
Visa_fechaalta	0.0190005765085435	0.0115537343259301	0.024559583633521
Visa_mfinanciacion_limite	0.0179523549283757	0.0141459120843746	0.0253876530956943
Master_mfinanciacion_limite	0.0176375232578059	0.0157241553507996	0.024966144813505
mpayroll	0.0165225891305192	0.00594881415614059	0.00166660189589044
chomebanking_transacciones	0.0154773674767972	0.0108533547087955	0.0222562351836849
Master_status	0.0153981180792156	0.012969430577908	0.00139306992553354
cdescubierto_preacordado	0.0146413576670995	0.0149525388087546	0.0046186545814363
Visa_mpagominimo	0.0125218444162795	0.00998627246166524	0.0112073372335305
mcomisiones	0.0117121800636443	0.00639656243267413	0.0164238759031787
mcaja_ahorro_dolares	0.0115039384716945	0.0130109214386847	0.0145569828377372
mcomisiones_mantenimiento	0.0111254279317933	0.0110282609089882	0.0115690571068987
Visa_mpagospesos	0.0107808358173438	0.00911137214493849	0.0141474322373122
cproductos	0.0105942449772222	0.0263106126579797	0.0171308738374891
Visa_msaldototal	0.0102055563359011	0.00648696736140601	0.00695339194590345
Visa_mconsumospesos	0.0100327813948817	0.0062572520837675	0.011838104946594
mtransferencias_recibidas	0.00972731234287007	0.00783007866610223	0.0115032898571954
Master_fultimo_cierre	0.00969730159139946	0.00787468193448446	0.0151444039544054
ctarjeta_visa_transacciones	0.00965115726942643	0.00559212304139846	0.00711930478038223
Visa_fultimo_cierre	0.00947744551930257	0.00665110993102405	0.0150592054718352
foto_mes	0.0093436040824321	0.0410371609230307	0.0165374738799389
ccomisiones_otras	0.00877771674958987	0.00698780793261262	0.0143880805828174
mcomisiones_otras	0.00868392353680429	0.00711825605193051	0.0151862558405802
Visa_status	0.0085810137150211	0.012121197874132	0.00139904876641566
mtarjeta_visa_consumo	0.0082413101082604	0.00611995293885786	0.00532864193618783
Master_mlimitecompra	0.00772054035199296	0.00797874202597532	0.0101789766018062
Visa_msaldopesos	0.00768276376847534	0.00734288016697769	0.00687716172465644
Visa_cconsumos	0.00714207747363391	0.00465511523783373	0.00820147498004562
mttarjeta_visa_debitos_automaticos	0.00651864036175705	0.00377920693898542	0.00658419852143265
ctarjeta_debito	0.00593451243875078	0.0128168399356265	0.0101311458747493
mcuenta_debitos_automaticos	0.0056238982622261	0.00555733111634918	0.0049983109774508
